age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
24,technician,married,tertiary,no,1656,no,no,cellular,22,aug,54,1,-1,2,unknown,no
78,management,married,tertiary,no,-1754,no,no,cellular,19,may,3,7,-1,2,unknown,no
69,unknown,married,secondary,no,7156,yes,no,unknown,23,jul,43,5,-1,1,unknown,no
52,services,married,primary,no,6846,no,no,cellular,26,oct,172,8,-1,1,unknown,yes
51,admin.,married,secondary,no,-4921,no,no,unknown,17,jul,31,3,-1,2,unknown,no
84,technician,married,secondary,no,1830,no,no,telephone,10,apr,71,5,-1,2,unknown,no
24,management,single,secondary,no,3416,no,yes,cellular,17,jun,186,4,-1,0,unknown,no
72,blue-collar,single,unknown,no,2625,no,no,cellular,10,sep,50,9,-1,5,unknown,no
33,blue-collar,single,secondary,no,5846,yes,no,cellular,6,may,49,1,-1,2,unknown,yes
25,services,single,secondary,no,5222,no,no,unknown,10,jun,22,2,-1,2,unknown,no
59,admin.,single,tertiary,no,2095,yes,no,unknown,14,jul,87,9,-1,3,unknown,no
94,blue-collar,single,secondary,no,8131,yes,no,cellular,7,jul,82,1,-1,1,unknown,yes
75,blue-collar,married,primary,no,4110,yes,no,cellular,9,apr,311,3,-1,3,unknown,no
77,management,single,secondary,no,245,yes,yes,cellular,16,may,254,3,-1,5,unknown,no
73,management,married,tertiary,no,-357,yes,no,cellular,4,jun,52,8,10,5,unknown,no
79,management,married,primary,no,5030,yes,no,cellular,3,may,167,7,-1,1,unknown,no
58,blue-collar,married,secondary,no,-1078,no,no,cellular,22,may,71,8,277,0,unknown,no
27,admin.,single,tertiary,no,70,no,yes,cellular,24,may,61,1,-1,0,success,no
83,retired,single,secondary,no,581,no,no,telephone,9,jan,200,2,-1,1,unknown,no
53,housemaid,divorced,tertiary,no,2366,no,no,cellular,4,jun,41,5,-1,3,unknown,yes
57,services,divorced,secondary,no,719,yes,no,cellular,13,dec,117,7,-1,2,unknown,no
